tour_id,country,region,city,location,title,slug,slug_override,video_type,themes,filmed_date_iso,filmed_year,weather_summary,temp_f,temp_c,youtube_url,map_url,latitude,longitude,distance_label,distance_miles,distance_km,duration_label,source_sheet
it-0001,Italy,Campania,Agropoli,Agropoli,"Agropoli, Italy 4K Walking Tour (2020)",agropoli-day-walk-2020,,day-walk,"coastal, historic-center, old-town",2020-07-11,2020,,,,https://youtu.be/NJFZtpqdtE0,https://www.google.com/maps/d/edit?mid=1H0Q7D_w0SnuW4tTCW7I-VYx1aNjmWyLg&usp=sharing ,40.350518,14.9896278,,,,1:35:20,Italy
it-0002,Italy,Campania,Amalfi,Amalfi Coast,"Amalfi Coast, Italy 4K Bike Tour (2022)",amalfi-coast-bike-tour-2022,amalfi-coast-bike-tour-2022,bike-tour,"coastal, historic-center, world-heritage-site",2022-05-04,2022,,,,https://youtu.be/1UxoHtG2qas,https://www.google.com/maps/d/u/0/edit?mid=1UVBg5L-fE24x06xurWbR0HGcxP1sSu4&usp=sharing,40.6194714,14.4656484,,,,4:44:26,Italy
it-0003,Italy,Campania,Amalfi,Amalfi Coast,"Amalfi Coast, Italy 4K Scooter Tour (2019)",amalfi-scooter-tour-2019,,scooter-tour,"coastal, world-heritage-site",2019-09-07,2019,,,,https://youtu.be/vL3tziOxNC8,,40.6174457,14.4280522,,,,1:54:07,Italy
it-0004,Italy,Campania,Amalfi,Amalfi Coast,"Amalfi Coast, Italy 4K Drone Tour",amalfi-coast-drone-tour,amalfi-coast-drone-tour,drone-tour,"coastal, world-heritage-site",,2019,,,,https://youtu.be/O2UnQoKJkC8,,40.6043786,14.5287869,,,,0:08:56,Italy
it-0005,Italy,Campania,Positano,Amalfi Coast,"Amalfi Coast, Italy 4K Boat Tour (2021)",positano-boat-tour-2021,,boat-tour,"coastal, waterfront, world-heritage-site",2021-07-22,2021,,,,https://youtu.be/j4WmTagG3Ss,https://www.google.com/maps/d/u/0/edit?mid=1GZ-B-SwqGAufF5kpJtGxtvTA2wD-o5pw&usp=sharing,40.6271813,14.4862013,,,,2:27:53,Italy
it-0006,Italy,Campania,Positano,Amalfi Coast,"Amalfi Coast, Italy 4K 360 Tour (2019)",amalfi-coast-360-tour,amalfi-coast-360-tour,360-tour,"coastal, historic-center, world-heritage-site",,,,,,https://youtu.be/dDuBgKFyQEA,,40.6175414,14.4278,,,,1:54:10,Italy
it-0007,Italy,Campania,Maiori,Amalfi Coast,"Amalfi Coast, Italy 4K Path of the Lemons Walking Tour (2025)",maiori-hike-2025,,hike,"coastal, historic-center, world-heritage-site",2025-06-15,2025,,,,https://youtu.be/shgLRsSw7q0,https://www.google.com/maps/d/edit?mid=1Jxty6JTr69jjUkqo1F4Skl7DSQzNSx8&usp=sharing,40.6460622,14.6458396,,,,2:18:05,Italy
it-0008,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Walking Tour (2018) - No Captions",amalfi-day-walk-2018,,day-walk,"coastal, historic-center, world-heritage-site",2018-06-09,2018,,,,https://youtu.be/Wu_Vg86LMYw,,40.6310414,14.5992698,,,,1:30:52,Italy
it-0009,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Walking Tour (2018)",amalfi-day-walk-with-captions-2018,amalfi-day-walk-with-captions-2018,day-walk,"coastal, historic-center, world-heritage-site",2018-06-09,2018,,,,https://youtu.be/ougQYMEic3k,,40.6311324,14.5985918,,,,1:38:39,Italy
it-0010,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K 360 Tour (2019)",amalfi-360-tour-2019,,360-tour,"coastal, historic-center, world-heritage-site",2019-09-07,2019,,,,https://youtu.be/G4BrczBZAXY,,40.6323402,14.6030455,,,,0:33:36,Italy
it-0011,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Walking Tour (2020)",amalfi-day-walk-2020,,day-walk,"coastal, historic-center, world-heritage-site",2020-06-27,2020,,,,https://youtu.be/EJ5Ju8-t3jk,https://www.google.com/maps/d/u/0/edit?mid=1mckBXjUaq7pZl8PqYi2Xulr7ytBzbBVx&usp=sharing,40.6309783,14.599758,,,,1:43:56,Italy
it-0012,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Valle dell Ferreire Hike (2022)",amalfi-hike-2022,,hike,"coastal, world-heritage-site",2022-01-16,2022,,,,https://youtu.be/BzI4brnBuM8,https://www.google.com/maps/d/u/0/edit?mid=1tO7pVq76nzDVF6hD41j5TqctEgPoiBzp&usp=sharing ,40.6431542,14.6033529,,,,2:54:31,Italy
it-0013,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Evening Tour (2022)",amalfi-evening-walk-2022,,evening-walk,"coastal, historic-center, world-heritage-site",2022-06-16,2022,,,,https://youtu.be/JoRjptaKCIA,https://www.google.com/maps/d/edit?mid=1XqTyO-Ho7iztl1jFFVkxYOkLEpalfCM&usp=sharing,40.6336782,14.604804,,,,0:55:46,Italy
it-0014,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Walking Tour (2022)",amalfi-day-walk-2022,,day-walk,"coastal, historic-center, world-heritage-site",2022-07-30,2022,,,,https://youtu.be/U-Q27n2zzKY,https://www.google.com/maps/d/edit?mid=1Eakqjm7yV1yH5N2Ii2x2crX082MyIFc&usp=sharing,40.6335149,14.6048977,,,,2:40:10,Italy
it-0015,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Walking Tour (2025)",amalfi-day-walk-2025,,day-walk,"coastal, historic-center, world-heritage-site",2025-06-13,2025,,,,https://youtu.be/oQWeQbw8taw,https://www.google.com/maps/d/u/0/edit?mid=1VEt4jVhv3RxerWqWghQU-D4OILKN_9s&usp=sharing,40.6334239,14.6050108,,,,1:58:45,Italy
it-0016,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Driving to Amalfi Timelapse",amalfi-drive-tour-timelapse-2022,amalfi-drive-tour-timelapse-2022,drive-tour,"coastal, world-heritage-site",2022-01-16,2022,,,,https://youtu.be/mQMJc3evtZ8,https://www.google.com/maps/d/u/0/edit?mid=1TB-sJSFG5a4BtqSPOrA6BTlBxn3E0EY&usp=sharing ,40.9860574,14.2369923,,,,0:06:24,Italy
it-0017,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Bike Tour",amalfi-bike-tour-2022,,bike-tour,"coastal, historic-center, world-heritage-site",2022-01-16,2022,,,,https://youtu.be/UCxXQkTDbTc,https://www.google.com/maps/d/u/0/edit?mid=1G3Iwqyvteqs6Rp2dQivyb0XS7K3DlGc&usp=sharing  ,40.6335186,14.6016158,,,,0:49:43,Italy
it-0018,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Valle delle Ferriere HIke",amalfi-hike-2021,,hike,"coastal, world-heritage-site",2021-11-20,2021,,,,https://youtu.be/ujv7m11ooMY,https://www.google.com/maps/d/u/0/edit?mid=1I1ZSdIUD-XeRSLjsrcSI0SvbsrNTiUU&usp=sharing,40.6332911,14.6031496,,,,2:28:36,Italy
it-0019,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Driving to Amalfi",amalfi-drive-tour-2022,,drive-tour,"coastal, world-heritage-site",2022-03-13,2022,,,,https://youtu.be/HS1nT5OHLls,https://www.google.com/maps/d/u/0/edit?mid=1J7Af5daMo2IG8QZXjZFaWzwK86CMAnY&usp=sharing,40.9870407,14.2413248,,,,1:22:16,Italy
it-0020,Italy,Campania,Valle di Maddaloni,Aqueduct of Vanvitelli,"Aqueduct of Vanvitelli, Italy Drone Tour",aqueduct-of-vanvitelli-drone-tour,aqueduct-of-vanvitelli-drone-tour,drone-tour,,2019-10-08,2019,,,,https://youtu.be/CyiMlcRKE9w,,41.0593405,14.4021993,,,,0:02:33,Italy
it-0021,Italy,Campania,Atrani,Atrani,"Atrani, Italy 4K Walking Tour (2025)",atrani-day-walk-2025,,day-walk,"coastal, world-heritage-site",2025-06-13,2025,,,,https://youtu.be/zuS2SjuxlDI,https://www.google.com/maps/d/edit?mid=1W1kcgU4KgrUQDO9WINUmHHsS9BEZ_EQ&usp=sharin,40.6337882,14.6065518,,,,0:54:38,Italy
it-0022,Italy,Campania,Aversa,Aversa,"Aversa, Italy 4K Walking Tour (2018)",aversa-day-walk-2018,,day-walk,historic-center,2018-01-28,2018,,,,https://youtu.be/C99feskJLS8,,40.9686741,14.2079231,,,,0:11:59,Italy
it-0023,Italy,Campania,Aversa,Aversa,"Aversa, Italy 4K Night Tour (2018)",aversa-evening-walk-2018,,evening-walk,historic-center,2018-01-27,2018,,,,https://youtu.be/DXVgSjUVIwE,,40.9689374,14.2079231,,,,0:13:23,Italy
it-0024,Italy,Campania,Aversa,Aversa,"Aversa, Italy 4K Night Walk (2022)",aversa-evening-walk-2022,,evening-walk,historic-center,2022-04-23,2022,,,,https://youtu.be/pCTfjxZaPk0,https://www.google.com/maps/d/u/0/edit?mid=1aM3nS0SAUQ8R-5zE50VMqb3pz9W-UbhN&usp=sharing,40.9691789,14.2079342,,,,0:47:00,Italy
it-0025,Italy,Campania,Aversa,Aversa,"Aversa, Italy 4K Bike Tour with Osmo Pocket",aversa-bike-tour-osmo-pocket-2020,aversa-bike-tour-osmo-pocket-2020,bike-tour,historic-center,2020-05-09,2020,,,,https://youtu.be/87SemGdN7jA,https://drive.google.com/open?id=1_Ts0SgBpVUtBaOTOjdjl6RA02BQollRS,40.968394,14.2079349,,,,0:21:06,Italy
it-0026,Italy,Campania,Aversa,Aversa,"Aversa, Italy 4K Bike Tour with Gopro",aversa-bike-tour-gopro-2020,aversa-bike-tour-gopro-2020,bike-tour,historic-center,2020-05-09,2020,,,,https://youtu.be/JrQ4npcERM4,https://drive.google.com/open?id=1_Ts0SgBpVUtBaOTOjdjl6RA02BQollRS,40.9680972,14.2079186,,,,0:22:50,Italy
it-0027,Italy,Campania,Baia,Baia,"Baia, Italy 4K Roman Baths Walking Tour (2018)",baia-day-walk-2018,,day-walk,"coastal, ancient-site, roman-ruins, archaeological-site",2018-09-01,2018,,,,https://youtu.be/DsXUObRRMKg,https://www.google.com/maps/d/edit?mid=1WoFm_d5s5uICVeAVyvZAMZRkWaboOIQ&usp=sharing,40.8182405,14.0693977,,,,1:45:14,Italy
