tour_id,country,region,city,location,title,slug,slug_override,video_type,themes,filmed_date_iso,filmed_year,weather_summary,temp_f,temp_c,youtube_url,map_url,latitude,longitude,distance_label,distance_miles,distance_km,duration_label,duration_seconds,description_short,description_long,landmarks,keywords,status,thumbnail_path,display_location
fr-0001,France,Provence-Alpes-Côte d'Azur,Menton,Old Town & Waterfront,"Menton, France Old Town & Waterfront Walk (2025)",menton-france-walking-tour-2025,menton-france-walking-tour-2025,day-walk,"French Riviera & Coastal Towns, Historic Centers & Old Towns",2025-09-09,2025,,79,26,https://youtu.be/ulReotWQvO0,https://www.google.com/maps/d/u/0/edit?mid=10Hd2GhEptpOzBdjYhG4z08uxX0gGyf0&usp=sharing,43.7773396,7.5085900,3.5 miles,3.50,5.60,1:51:10,"6,670.00","A daytime walk in Menton, France.","A day walk through Menton, France, featuring the old town, seaside promenade, colorful architecture, and the atmosphere of the French Riviera near the Italian border.","Intro and Map, Sablettes Beach (West), Les Rampes Saint-Michel, Rue Longue, Place Logettes, Place du Cap, Rue Saint-Michel, Place aux Herbes, Place Clemenceau, Mairie de Menton, Place Ardoïno, Plage du Fossan, Promenade du Soleil, Parc Plage de Fossan, Quai Napoléon III, Esplanade des Sablettes, Quai Impératrice Eugénie, Parvis de la Basilique Saint-Michel, Rue du Vieux Château, Cimetière du Vieux Château, Back to the Beach","Menton, Provence-Alpes-Côte d'Azur, France, day walk, City; Beach, Intro and Map, Sablettes Beach (West), Les Rampes Saint-Michel, Rue Longue, Place Logettes, Place du Cap, Rue Saint-Michel, Place aux Herbes",ready,,Old Town & Waterfront
fr-0002,France,Provence-Alpes-Côte d'Azur,Antibes,Old Town & Waterfront,"Antibes, France Old Town & Waterfront Walk (2025)",antibes-daytime-walk-2025,antibes-daytime-walk-2025,day-walk,"French Riviera & Coastal Towns, Historic Centers & Old Towns",2025-09-12,2025,,85,29,https://youtu.be/LECdWNv2kzA,https://www.google.com/maps/d/edit?mid=1rLDFZIOJ2kURpaQjtsitNb-0lpfOT2w&usp=sharing,43.5784254,7.1268423,4 Miles,4.00,6.40,2:16:36,"8,196.00","A daytime walk in Antibes, France.","A day walk through Antibes, France, featuring the old town, Picasso Museum, Antibes Cathedral, the Provencal market, marina, and scenic waterfront along the French Riviera.","Intro & Map, Promenade Amiral de Grasse, Musée Picasso, Antibes Cathedral, le Marché provençal Outdoor Market, Rue Georges Clemenceau, Place Nationale, Rue Sade, Hat Store, Cheese Shop, Place du Barri, Plage de la Gravette Beach, Marina, Le Nomade Sculpture, Phare de l’Échauguette Lighthouse, Boulevard d'Aguillon, Esplanade du Pré des Pêcheurs, Jardin d'Eden ou paradis, Traverse Lacan, Place des Martyrs de la Résistance, Rue de la République, Rue Fourmillière, La Tarte Tropézienne Pastry Shop, Rue James Close, Rue Thuret","Antibes, Provence-Alpes-Côte d'Azur, France, day walk, City; Beach,, Intro & Map, Promenade Amiral de Grasse, Musée Picasso, Antibes Cathedral, le Marché provençal Outdoor Market, Rue Georges Clemenceau, Place Nationale, Rue Sade",ready,,Old Town & Waterfront
fr-0003,France,Provence-Alpes-Côte d'Azur,Nice,Old Town & Promenade des Anglais,"Nice, France Evening Walk (2025)",nice-old-town-monday-evening-walk-2025,nice-old-town-monday-evening-walk-2025,evening-walk,"French Riviera & Coastal Towns, Historic Centers & Old Towns",2025-09-08,2025,"Warm clear evening, 85°F (29°C)",85,29,https://youtu.be/br0MPT2SdTE,https://www.google.com/maps/d/edit?mid=1oS9dh052hHDnS0aF4ZlWcpk7mDKxCl4&usp=sharing,43.6948291,7.2665377,2.4 Miles,2.40,3.90,1:30:55,"5,455.00","An evening walk in Nice, France.","An evening walk through Nice, France, exploring Place Masséna, the French Riviera waterfront, Cours Saleya, and the Baroque streets of Vieux Nice.","Intro & Map, Place Masséna, Fontaine du Soleil, Esplanade Georges Pompidou, Plage Beau Rivage, Quai des États-Unis, Plage de l'Opéra, Les Ponchettes Arcade, Colline du Château (Castle Hill), Place Charles Félix, Cours Saleya, Chapelle de la Miséricorde, Vieux Nice (Old Town), Rue Droite, Palais Lascaris, Église Saint-Jacques-le-Majeur (Église du Gesù), Carriera Dou Gouvernou, Place Rossetti, Cathédrale Sainte-Réparate, Fenocchio Ice Cream, Place Saint-François, Fontaine des Dauphins, Tour Saint-François, Palais Communal, Rue du Marché, Porte Fausse, Place du Palais de Justice, Palais de Justice, Palais de la Préfecture (Palais des Rois Sardes), Le Café du Palais, Rue Saint-François de Paule, Opéra de Nice, Maison Auer, Place Charles Félix (return), Les Ponchettes Stairs, Quai des États-Unis (return), Cadran Solaire, Monument aux Morts, Quai Rauba Capeu","Nice, Provence-Alpes-Côte d'Azur, France, evening walk, French Riviera, Côte d'Azur, Vieux Nice, Old Town, Place Masséna, Fontaine du Soleil, Quai des États-Unis, Cours Saleya, flower market, Cathédrale Sainte-Réparate, Église du Gesù, Place Rossetti, Place Saint-François, fish market, Place du Palais de Justice, Palais Lascaris, Opéra de Nice, Monument aux Morts, Quai Rauba Capeu, Cadran Solaire, Castle Hill, Baie des Anges, Baroque architecture, Henri Matisse, Monday evening, September 2025",ready,,Old Town & Promenade des Anglais
fr-0004,France,Provence-Alpes-Côte d'Azur,Nice,Old Town & Promenade des Anglais,"Nice, France Day Walk (2025)",nice-old-town-day-walk-2025,nice-old-town-day-walk-2025,day-walk,"French Riviera & Coastal Towns, Historic Centers & Old Towns",2025-09-14,2025,,,,,,43.6977197,7.2695201,,,,,,"A daytime walk in Nice, France.",coming soon!,,"Nice, Provence-Alpes-Côte d'Azur, France, day walk",draft,,Old Town & Promenade des Anglais
fr-0005,France,Provence-Alpes-Côte d'Azur,Eze,Medieval Village,"Èze, France Medieval Village Walk (2025)",eze-medieval-village-day-walk-2025,,day-walk,Historic Centers & Old Towns,2025-09-10,2025,,,,,,43.7295929,7.3617600,,,,,,"A daytime walk in Eze, France.",coming soon!,,"Eze, Provence-Alpes-Côte d'Azur, France, day walk",draft,,Medieval Village
fr-0006,Monaco,Monaco,Monaco,Le Rocher,"Monaco, France Old Town & Harbor Walk (2025)",monaco-le-rocher-day-walk-2025,,day-walk,"French Riviera & Coastal Towns, Historic Centers & Old Towns",2025-09-10,2025,,,,,,43.7327120,7.4196388,,,,,,"A daytime walk in Monaco, Monaco.",coming soon!,,"Monaco, day walk",draft,,Le Rocher
fr-0007,France,Provence-Alpes-Côte d'Azur,Antibes,Old Town,"Antibes, France Old Town Evening Walk (2025)",antibes-old-town-evening-walk-2025,antibes-old-town-evening-walk-2025,evening-walk,"French Riviera & Coastal Towns, Historic Centers & Old Towns",2025-09-12,2025,,,,,,43.5814326,7.1233584,,,,,,"An evening walk in Antibes, France.",coming soon!,,"Antibes, Provence-Alpes-Côte d'Azur, France, evening walk",draft,,Old Town
fr-0008,France,Provence-Alpes-Côte d'Azur,Antibes,Coastal Walk,"Antibes, France Coastal Walk (2025)",antibes-coastal-day-walk-2025,antibes-coastal-day-walk-2025,day-walk,"French Riviera & Coastal Towns, Historic Centers & Old Towns",2025-09-12,2025,,,,,,43.5445955,7.1333910,,,,,,"A daytime walk in Antibes, France.",coming soon!,,"Antibes, Provence-Alpes-Côte d'Azur, France, day walk",draft,,Coastal Walk
fr-0009,France,Provence-Alpes-Côte d'Azur,Saint Paul de Vence,Old Town,"Saint-Paul-de-Vence, France Old Town Walk (2025)",saint-paul-de-vence-old-town-day-walk-2025,,day-walk,Historic Centers & Old Towns,2025-09-11,2025,,,,,,43.6992595,7.1216231,,,,,,"A daytime walk in Saint Paul de Vence, France.",coming soon!,,"Saint-Paul-de-Vence, Provence-Alpes-Côte d'Azur, France, day walk",draft,,Old Town
fr-0010,France,Provence-Alpes-Côte d'Azur,Avignon,Medieval Old Town,"Avignon, France Medieval Old Town Walk (2025)",avignon-walking-tour-2025,avignon-walking-tour-2025,day-walk,"Historic Centers & Old Towns, History, Ruins & Hidden Places",2025-09-18,2025,,85,29,https://youtu.be/2iQh_R4t2Uw,https://www.google.com/maps/d/edit?mid=1_oLp6WjK3xM6gcGq2TYxER83Vzo788w&usp=sharing,43.9517681,4.7993303,4.5 Miles,4.50,7.20,2:23:39,"8,619.00","A daytime walk in Avignon, France.","A day walk through Avignon, France, featuring Place du Palais, the Palace of the Popes area, Pont d'Avignon, the city ramparts, Les Halles, and the medieval old town.","Intro and Map, Pont Édouard Daladier Viewpoint, Porte de l'Oulle, Place Crillon, Rue Folco de Baroncelli, Rue Joseph Vernet, Rue Saint-Agricol, Church of Saint-Agricol, Place de l’Horloge, Place du Palais, Cathédrale Notre-Dame des Doms, Leaving Place du Palais, Rue Pente Rapide, Pont Saint-Bénézet (Pont d’Avignon), Chapelle Saint-Nicolas, Walking the City Ramparts, Walking back to Place du Palais, Rue de la Peyrolerie, Place Cloître Saint-Pierre, Place Saint-Pierre, Place Carnot, Rue des Fourbisseurs, Rue du Vieux Sextier, Place pie, Tour Saint Jean","Avignon, Provence-Alpes-Côte d'Azur, France, day walk, city, Intro and Map, Pont Édouard Daladier Viewpoint, Porte de l'Oulle, Place Crillon, Rue Folco de Baroncelli, Rue Joseph Vernet, Rue Saint-Agricol, Church of Saint-Agricol",ready,,Medieval Old Town
