tour_id,country,region,city,location,title,slug,slug_override,video_type,themes,filmed_date_iso,filmed_year,weather_summary,temp_f,temp_c,youtube_url,map_url,latitude,longitude,distance_label,distance_miles,distance_km,duration_label,duration_seconds,description_short,description_long,landmarks,keywords,status,thumbnail_path,display_location
de-0001,Germany,North Rhine-Westphalia,Aachen,Christmas Market,"Aachen, Germany Christmas Market Evening Walk (2024)",aachen-christmas-market-evening-walk-2024,,evening-walk,christmas-market,2024-11-29,2024,,33,0.5,https://youtu.be/sNUBp762Qik,https://www.google.com/maps/d/edit?mid=1CqW-x0KVv8eZxsa4oDq6UDWagcLnPTU&usp=sharing,50.7751533,6.0837911,1.25 Miles,1.25,2.00,1:16:35,"4,595.00","An evening walk in Aachen, Germany.",This is an evening walking tour around the Christmas Markets in Aachen.,"Intro and Map, Katschhof, Marktplatz am Rathaus, Karlsbrunnen Fountain, Katschhof, Puppenbrunnen Fountain, Krämerstraße, Hühnermarkt, Hof, Münsterplatz, Spitzgässchen, Aachen Cathedral, Schmiedstraße, Kleinmarschierstraße, Münsterplatz","Aachen, North Rhine-Westphalia, Germany, christmas market, evening walk, 4K, Christmas Markets",ready,,Christmas Market
de-0002,Germany,North Rhine-Westphalia,Cologne,Christmas Market,"Cologne, Germany Christmas Market Evening Walk (2023)",cologne-christmas-market-evening-walk-2024,,evening-walk,christmas-market,2024-11-28,2024,,37,3,https://youtu.be/pK8KdLX1uEo,https://www.google.com/maps/d/edit?mid=1sa_ma0hfli54QGsQBK6vY4ngyFI1rVQ&usp=sharing,50.9413050,6.9564084,3.25 MIles,3.25,5.20,2:07:13,"7,633.00","An evening walk in Cologne, Germany.",This is an evening walk through the Christmas markets in Cologne.,"Intro and Map, Cologne Cathedral, Cathedral Christmas Market, Heinzelmännchen Fountain, Heinzels Winter Fairytale (Alter Markt), Heinzels Winter Fairytale (Heumarkt), Schildergasse, Antoniterkirche, Markt der Engel (The Angel Market), Church of St. Aposteln, Cologne’s Nikolausdorf (the Nicholas Village), Neumarkt, Schildergasse, Hohe Straße, Wallrafplatz","Cologne, North Rhine-Westphalia, Germany, christmas market, evening walk, 4K, Christmas Markets",ready,,Christmas Market
de-0003,Germany,North Rhine-Westphalia,Cologne,Christmas Market,"Cologne, Germany Christmas Market Day Walk (2023)",cologne-christmas-market-day-walk-2023,,day-walk,christmas-market,2023-11-28,2023,,34,1,https://youtu.be/GCsPZt5qUpg,https://www.google.com/maps/d/edit?mid=1gh1LRYayhPbfSjwEZZBf-5d-43Ff8Eg&usp=sharing,50.9418698,6.9581828,4.1 Miles,4.10,6.60,1:59:59,"7,199.00","A daytime walk in Cologne, Germany.",This is a daytime tour through the Christmas markets in Cologne,"Outside Cologne Cathedral, Inside Cologne Cathedral (Kölner Dom), Cathedral Christmas Market, Heinzelmännchen Fountain, Heinzels Winter Fairytale (Alter Markt), Heinzels Winter Fairytale (Heumarkt), Gürzenichstraße, Schildergasse, Antoniterkirche, The Angel Market (Neumarkt), Church of St. Aposteln, Cologne’s Nikolausdorf (the Nicholas Village), Neumarkt, Schildergasse, Hohe Straße, Wallrafplatz, Heinrich-Böll-Platz, Rheingarten","Cologne, North Rhine-Westphalia, Germany, christmas market, day walk, 4K, Christmas Markets",ready,,Christmas Market
de-0004,Germany,Saxony,Dresden,Christmas Market,"Dresden, Germany Christmas Market Day Walk (2022)",dresden-christmas-market-day-walk-2022,,day-walk,christmas-market,2022-12-12,2022,,32,0,https://youtu.be/-FIJHCY8j-0,https://www.google.com/maps/d/edit?mid=1-A0AlDQkjf5YGtGLZ5qAq8WmzTvXLfQ&usp=sharing,51.0502156,13.7374931,1.25 Miles,1.25,2.00,1:16:31,"4,591.00","A daytime walk in Dresden, Germany.",This is a tour through the Christmas Markets of Dresden starting at Altmarkt Square.,"Intro and Map, Altmarkt - STRIEZELMARKT, Neumarkt - Advent at the Neumarkt, Frauenkirche, Brühlsche Terrasse, Schloßplatz, Theaterplatz, Romantischer Weihnachtsmarkt","Dresden, Saxony, Germany, christmas market, day walk, 4K, Christmas Markets",ready,,Christmas Market
de-0005,Germany,Saxony,Dresden,Christmas Market,"Dresden, Germany Christmas Market Evening Walk (2022)",dresden-christmas-market-evening-walk-2022,,evening-walk,christmas-market,2022-12-11,2022,,32,0,https://youtu.be/9JCm5Nzqzfg,https://www.google.com/maps/d/edit?mid=1wEASx3u3RmyCVbqICJuLi-f681_Mcr0&usp=sharing,51.0501659,13.7378632,2.5 Miles,2.50,4.00,2:05:31,"7,531.00","An evening walk in Dresden, Germany.",This is an evening tour around the Christmas Market's in Dresden,"Altmarket Square, Romantischer Weihnachtsmarkt, Neumarkt, Bruhl’s Terrace, Augustus Bridge, Augustusmarkt, Augustus Bridge, SchloBplatz, Altmarket Square","Dresden, Saxony, Germany, christmas market, evening walk, 4K, Christmas Markets",ready,,Christmas Market
de-0006,Germany,Saxony,Dresden,Christmas Market,"Dresden, Germany Christmas Market Day Walk (2024)",dresden-christmas-market-day-walk-2024,,day-walk,christmas-market,2024-12-07,2024,,43,6,https://youtu.be/aNBmM3aQWz4,https://www.google.com/maps/d/edit?mid=15fObt-LYeivbDt485M3eM4egsSa_nbE&usp=sharing,51.0499335,13.7373966,2 Miles,2.00,3.20,2:04:42,"7,482.00","A daytime walk in Dresden, Germany.",Winterlights of Dresden Market Tour,"Schwibbogen Arch, Altmarkt - STRIEZELMARKT, Merry Go Round, Kids Train, Erzgebirge Step Pyramid, Romantic Christmas Market, Neumarkt - Advent at the Neumarkt, Frauenkirche, Brühlsche Terrasse, Schloßplatz, Augustus Bridge, Augustusmarkt – international Christmas market, Augustus Bridge, Schloßplatz, Fürstenzug, Georgentor Gate, Girls Dancing on Stage, Altmarkt - STRIEZELMARKT","Dresden, Saxony, Germany, christmas market, day walk, 4K, Christmas Markets",ready,,Christmas Market
de-0007,Germany,Saxony,Dresden,Christmas Market,"Dresden, Germany Christmas Market Evening Walk (2024)",dresden-christmas-market-evening-walk-2024,,evening-walk,christmas-market,2024-12-06,2024,,34,1,https://youtu.be/LWqbdWbnGlk,https://www.google.com/maps/d/edit?mid=1U_e_9r6vwrfrXMt0vjyTx09HdN6NUnU&usp=sharing,51.0499387,13.7378065,2 Miles,2.00,3.20,1:34:36,"5,676.00","An evening walk in Dresden, Germany.",Join me for a peaceful evening walking tour through Dresden’s Christmas markets,"Altmarkt - STRIEZELMARKT, Romantischer Weihnachtsmarkt, Neumarkt - Advent at the Neumarkt, Frauenkirche, Brühlsche Terrasse, Schloßplatz, Altmarkt - STRIEZELMARKT","Dresden, Saxony, Germany, christmas market, evening walk, 4K, Christmas Markets",ready,,Christmas Market
de-0008,Germany,Baden-Württemberg,Esslingen,Christmas Market,"Esslingen, Germany Christmas Market Day Walk (2024)",esslingen-christmas-market-day-walk-2024,,day-walk,christmas-market,2024-12-15,2024,,45,6,https://youtu.be/I0BUehZBcOI,https://www.google.com/maps/d/u/0/edit?mid=1oH0gIBnPwLJwb4E6-1McxytIcmFrNTg&usp=sharing,48.7413731,9.3039564,1.25 Miles,1.25,2.00,1:35:00,"5,700.00","A daytime walk in Esslingen, Germany.",This is a tour through the medieval Christmas Markets in Esslingen.,"Intro and Map, Schelz Tower, St. Dionys Town Church (Outside), Christmas Market at Marktplatz, Children's Medieval Market, Medieval Market at Rathausplatz, Medieval Market at Hafenmarkt, Street Market, Harpist Playing O Come, All Ye Faithful, Christmas Market at Fischbrunnenplatz, Georg-Christian-von-Kessler-Platz, St. Dionys Town Church (Inside)","Esslingen, Baden-Württemberg, Germany, christmas market, evening walk, 4K, Christmas Markets",ready,,Christmas Market
de-0009,Germany,Baden-Württemberg,Freiburg,Christmas Market,"Freiburg, Germany Christmas Market Evening Walk (2025)",freiburg-christmas-market-evening-walk-2025,,evening-walk,christmas-market,2025-12-16,2025,,49,9,https://youtu.be/4bQoSIwQHZM,https://www.google.com/maps/d/edit?mid=1cow1Bl-XUxiBNkB8w78b4uhOkR5MGWM&usp=sharing,47.9951246,7.8414239,2.1 Miles,2.10,3.40,1:48:23,"6,503.00","An evening walk in Freiburg, Germany.",Freiburg’s Christmas Market is known for its cozy,"Christmas Market on Tower Street, Christmas Market at Rathausplatz, Christmas Market on Franciscan Street, Christmas Market at Kartoffelmarkt, Münsterplatz, Freiburg Cathedral, Münsterplatz Produce Market, 67 Kids, Shoemaker Street, Seminary Street, Swabian Gate, Münsterplatz, Christmas Market on Franciscan Street, Christmas Market on Tower Street, Christmas Market at Colombipark","Freiburg, Baden-Württemberg, Germany, christmas market, evening walk, 4K, Christmas Markets",ready,,Christmas Market
de-0010,Germany,Bavaria,Munich,Christmas Market,"Munich, Germany Christmas Market Evening Walk (2024)",munich-christmas-market-evening-walk-2024,,evening-walk,christmas-market,2024-12-12,2024,,34,2,https://youtu.be/g1akZNSsS14,https://www.google.com/maps/d/u/0/edit?mid=1SZakjmkAEQRDBzUm8jy_Lx-fF8oaR64&usp=sharing,48.1392005,11.5661558,2.5 Miles,2.50,4.00,1:54:16,"6,856.00","An evening walk in Munich, Germany.",This is an evening tour through the Christmas Markets in Munich.,"Intro and Map, Karlsplatz Ice Skating, Karlstor, Neuhauser Street, Marienplatz (Münchner Christkindlmarkt), Rindermarkt, Marienplatz, Weinstraße, Odeonsplatz, Middle Ages Market at Wittelsbacherplatz, Christmas Village at the Munich Residenz, Residenzstraße, Marienplatz, Viktualienmarkt, City Parish of St. Peter, Marienplatz","Munich, Bavaria, Germany, christmas market, evening walk, 4K, Christmas Markets",ready,,Christmas Market
