tour_id,country,region,city,location,title,slug,slug_override,video_type,themes,filmed_date_iso,filmed_year,weather_summary,temp_f,temp_c,youtube_url,map_url,latitude,longitude,distance_label,distance_miles,distance_km,duration_label,duration_seconds,description_short,description_long,landmarks,keywords,status,thumbnail_path,
it-0001,Italy,Campania,Agropoli,Agropoli,"Agropoli, Italy 4K Walking Tour (2020)",agropoli-day-walk-2020,,day-walk,"coastal, historic-center, old-town",2020-07-11,2020,,,,https://youtu.be/NJFZtpqdtE0,https://www.google.com/maps/d/edit?mid=1H0Q7D_w0SnuW4tTCW7I-VYx1aNjmWyLg&usp=sharing ,40.350518,14.9896278,,,,1:35:20,5720,"A daytime walk in Agropoli, Italy.","A 4K daytime walking tour of Agropoli on Italy’s Cilento Coast, filmed July 11, 2020. Starts in Piazza Vittorio Veneto below the historic center, explores the old town, Angioino Aragonese Castle (built over an ancient Greek temple site), the harbor, waterfront beaches, and Viale Risorgimento.","Piazza Vittorio Veneto, Chiesa Santa Maria di Constantinopoli, Chiesa dei Santi Pietro e Paolo, Angioino Aragonese Castle, Port of Agropoli, Piazza della Repubblica, Beach, Artificial reef, Viale Risorgimento","Agropoli, Cilento Coast, Campania, walking tour, 4K, historic center, Angioino Aragonese Castle, port, beach, Piazza Vittorio Veneto, Chiesa Santa Maria di Constantinopoli, Chiesa dei Santi Pietro e Paolo, Viale Risorgimento, drone intro, waterfront",ready,,"coastal, historic-center, old-town, waterfront, beach, ancient-site"
it-0002,Italy,Campania,Amalfi,Amalfi Coast,"Amalfi Coast, Italy 4K Bike Tour (2022)",amalfi-coast-bike-tour-2022,amalfi-coast-bike-tour-2022,bike-tour,"coastal, historic-center, world-heritage-site",2022-05-04,2022,,,,https://youtu.be/1UxoHtG2qas,https://www.google.com/maps/d/u/0/edit?mid=1UVBg5L-fE24x06xurWbR0HGcxP1sSu4&usp=sharing,40.6194714,14.4656484,,,,4:44:26,17066,"A bike tour in Amalfi, Italy.","A 4K bike tour of the entire Amalfi Coast, filmed May 4, 2022. 72 km (45 miles) ride starting above Positano and passing through Positano, Praiano, Marina di Praia, Fiordo di Furore, Amalfi, Atrani, Minori, Maiori, Cetara, and Ravello with stunning coastal views.","Positano, Praiano, Marina di Praia, Fiordo di Furore, Amalfi, Atrani, Minori, Maiori, Cetara, Ravello","Amalfi Coast, bike tour, 4K, Positano, Praiano, Amalfi, Atrani, Ravello, Minori, Maiori, Cetara, coastal drive, Amalfi Drive, 72km ride",ready,,"coastal, historic-center, world-heritage-site, waterfront"
it-0003,Italy,Campania,Amalfi,Amalfi Coast,"Amalfi Coast, Italy 4K Scooter Tour (2019)",amalfi-scooter-tour-2019,,scooter-tour,"coastal, world-heritage-site",2019-09-07,2019,,,,https://youtu.be/vL3tziOxNC8,,40.6174457,14.4280522,,,,1:54:07,6847,"A scooter tour in Amalfi, Italy.","A 4K scooter tour along the full 80 km (50 miles) Amalfi Coast Drive (SS 163), filmed September 7, 2019 from Sorrento through Positano, Praiano, Amalfi, Atrani, Minori, Maiori, and ending in Vietri sul Mare.","Amalfi Coast Drive, Positano (Chiesa Nuova & Sponda bus stops), Praiano, Marina di Praia, Amalfi, Atrani, Minori, Maiori, Vietri sul Mare","Amalfi Coast, scooter tour, 4K, Amalfi Drive, Positano, Praiano, Marina di Praia, Amalfi, Atrani, Minori, Maiori, Vietri sul Mare, coastal road",ready,,"coastal, world-heritage-site, waterfront"
it-0004,Italy,Campania,Amalfi,Amalfi Coast,"Amalfi Coast, Italy 4K Drone Tour",amalfi-coast-drone-tour,amalfi-coast-drone-tour,drone-tour,"coastal, world-heritage-site",,2019,,,,https://youtu.be/O2UnQoKJkC8,,40.6043786,14.5287869,,,,0:08:56,536,"A drone tour in Amalfi, Italy.","A short 4K drone tour flying over the Path of the Gods (Sentiero degli Dei) along the dramatic Amalfi Coast cliffs and sea views. Landmarks: Path of the Gods, Amalfi Coast","Path of the Gods, Amalfi Coast","Amalfi Coast, drone tour, Path of the Gods, Sentiero degli Dei, 4K, aerial views, cliffs, Mediterranean Sea",ready,,"coastal, world-heritage-site"
it-0005,Italy,Campania,Positano,Amalfi Coast,"Amalfi Coast, Italy 4K Boat Tour (2021)",positano-boat-tour-2021,,boat-tour,"coastal, waterfront, world-heritage-site",2021-07-22,2021,,,,https://youtu.be/j4WmTagG3Ss,,40.6271813,14.4862013,,,,2:27:53,8873,"A boat tour in Positano, Italy.","A 4K boat tour of the Amalfi Coast, filmed July 22, 2021 starting west of Positano. Cruises past Fornillo Beach, Positano, Grand Hotel Tritone, Amalfi, Atrani, Minori, and Maiori.","Fornillo Beach, Positano, Grand Hotel Tritone, Amalfi, Atrani, Minori, Maiori","Amalfi Coast, boat tour, 4K, Positano, Fornillo Beach, Grand Hotel Tritone, Amalfi, Atrani, Minori, Maiori, coastal cruise",ready,,"coastal, waterfront, world-heritage-site, beach"
it-0006,Italy,Campania,Positano,Amalfi Coast,"Amalfi Coast, Italy 4K 360 Tour (2019)",amalfi-coast-360-tour,amalfi-coast-360-tour,360-tour,"coastal, historic-center, world-heritage-site",,,,,,https://youtu.be/dDuBgKFyQEA,,40.6175414,14.4278,,,,1:54:10,6850,"A 360° tour in Positano, Italy.","A 360° immersive scooter tour of the Amalfi Coast, filmed September 7, 2019 starting 9 km west of Positano. Drag to look around in every direction while passing Positano, Praiano, Conca dei Marini, Amalfi, Atrani, Minori, and Maiori.","Positano (Bus Stop #1 & Sponda Bus Stop #2), Scenic Lookout, Laurito, Grand Hotel Tritone, Vettica Maggiore, Praiano, Conca dei Marini, Amalfi, Tunnel to Amalfi Port, Atrani, Minori, Maiori","Amalfi Coast, 360 tour, scooter, VR, Positano, Praiano, Conca dei Marini, Amalfi, Atrani, Minori, Maiori, coastal road",ready,,"coastal, historic-center, world-heritage-site"
it-0007,Italy,Campania,Maiori,Amalfi Coast,"Amalfi Coast, Italy 4K Path of the Lemons Walking Tour (2025)",maiori-hike-2025,,hike,"coastal, historic-center, world-heritage-site",2025-06-15,2025,,,,https://youtu.be/shgLRsSw7q0,https://www.google.com/maps/d/edit?mid=1Jxty6JTr69jjUkqo1F4Skl7DSQzNSx8&usp=sharing,40.6460622,14.6458396,,,,2:18:05,8285,"A hike in Maiori, Italy.","A 4K hike along the Path of the Lemons (Sentiero dei Limoni) on the Amalfi Coast, filmed June 15, 2025. Starts in Maiori, follows the lemon-grove trail to Minori, then returns via the Amalfi Drive with beach and pier views.","Maiori Beach, Lungomare Boardwalk, Corso Reginna, Palazzo Mezzacapo Gardens, Collegiate Church of St Maria a Mare, Path of the Lemons, Golden Dream Farm, Belvedere Mortella, Minori, Basilica of Saint Trofimena, Piazza Ettore e Gaetano Cantilena, Piazza Umberto I, Amalfi Drive","Amalfi Coast, hike, Path of the Lemons, Sentiero dei Limoni, Maiori, Minori, lemon groves, 4K, 2025, Lungomare, beach walk",ready,,"coastal, historic-center, world-heritage-site, waterfront, beach"
it-0008,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Walking Tour (2018) - No Captions",amalfi-day-walk-2018,,day-walk,"coastal, historic-center, world-heritage-site",2018-06-09,2018,,,,https://youtu.be/Wu_Vg86LMYw,,40.6310414,14.5992698,,,,1:30:52,5452,"A daytime walk in Amalfi, Italy.","A caption-free 4K daytime walking tour of Amalfi, Italy, filmed June 9, 2018. Same route as the captioned version — explores the pier, harbor, cathedral, streets, and scenic viewpoints toward Atrani.","Amalfi Pier, Harbor, Beach, Piazza Flavio Giola, Piazza del Duomo, Amalfi Cathedral, Atrani","Amalfi, walking tour, 4K, no captions, pier, harbor, Amalfi Cathedral, Atrani, 2018, coastal town",ready,,"coastal, historic-center, world-heritage-site, waterfront, beach"
it-0009,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K Walking Tour (2018)",amalfi-day-walk-with-captions-2018,amalfi-day-walk-with-captions-2018,day-walk,"coastal, historic-center, world-heritage-site",2018-06-09,2018,,,,https://youtu.be/ougQYMEic3k,,40.6311324,14.5985918,,,,1:38:39,5919,"A daytime walk in Amalfi, Italy.","A 4K daytime walking tour of Amalfi, Italy, filmed June 9, 2018 starting at the pier. Full route with captions: jetty, harbor, Piazza del Duomo, Amalfi Cathedral (interior & bronze door), scenic viewpoints, steps to Atrani, and return via the coast road.","Amalfi Pier, Harbor, Ferry ticket office, Beach, Piazza Flavio Giola, Piazza del Duomo, Fountain of St. Andrew, Amalfi Cathedral, Cloister of Paradise, Church of the Crucifix, Crypt of Saint Andrew, Atrani, Cimitero Monumentale, Piazza Umberto I, Collegiate Santa Maria Maddalena","Amalfi, walking tour, 4K, 2018, Amalfi Cathedral, Piazza del Duomo, Atrani, pier, harbor, scenic viewpoints, Cloister of Paradise",ready,,"coastal, historic-center, world-heritage-site, waterfront, beach"
it-0010,Italy,Campania,Amalfi,Amalfi,"Amalfi, Italy 4K 360 Tour (2019)",amalfi-360-tour-2019,,360-tour,"coastal, historic-center, world-heritage-site",2019-09-07,2019,,,,https://youtu.be/G4BrczBZAXY,,40.6323402,14.6030455,,,,0:33:36,2016,"A 360° tour in Amalfi, Italy.","A 360° VR walking tour of Amalfi, filmed September 7, 2019 at 2:30 PM. Look in every direction while exploring the port (Porto Nuovo), beach views, bus stop, Piazza Duomo, Amalfi Cathedral, and the main street through the city center.","Amalfi Pier (Porto Nuovo), Beach, Amalfi Bus Stop, Piazza Duomo, Cathedral of Saint Andrew, Via Lorenzo D’Amalfi, Piazza dello Spirito Santo Fountain (Nativity Scene), Saint Andrew’s Fountain","Amalfi, 360 tour, VR, walking tour, 4K, port, Piazza Duomo, Amalfi Cathedral, 2019, city center",ready,,"coastal, historic-center, world-heritage-site, waterfront, beach"
